r/R,deg
0.0,13.308
0.02,13.308
0.04651219389518328,13.308
0.09085997342345777,13.308
0.13520775295173226,13.308
0.19064369423671945,13.308
0.25716617477889386,11.480
0.32368865532106833,10.162
0.39021113586324280,9.011
0.45673361640541720,7.795
0.52325609694759170,6.544
0.58977857748976610,5.361
0.65630105803194060,4.188
0.72282353857411500,3.125
0.78934601911628940,2.319
0.85586849965846390,1.526
0.91130444094345100,0.863
0.95565222047172550,0.370
1.00000000000000000,0.106
