r/R,c/R
0.04651219389518328,0.057468933190337040
0.09085997342345777,0.062531131709643970
0.13520775295173226,0.067609555224205100
0.19064369423671945,0.073937303373338770
0.25716617477889386,0.075478677922486700
0.32368865532106833,0.072331028843174060
0.39021113586324280,0.068940004835048590
0.45673361640541720,0.065013555983534870
0.52325609694759170,0.060811282212699956
0.58977857748976610,0.056819933380169480
0.65630105803194060,0.052828584547639015
0.72282353857411500,0.048837235715108550
0.78934601911628940,0.044845886882578080
0.85586849965846390,0.040854538050047615
0.91130444094345100,0.037528414022938904
0.95565222047172550,0.033845340100238020
1.00000000000000000,0.023023268265694032
